Tournament,Date,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,Score
Croatia Open,2022-07-25,Clay,1st Round,3,Galan D.E.,Fognini F.,Galan D.E.,99,54,539,834,2.1,1.72,6-3 5-7 6-3
Croatia Open,2022-07-25,Clay,1st Round,3,Ymer M.,Munar J.,Munar J.,108,59,524,809,3.5,1.3,6-4 1-6 4-6
Croatia Open,2022-07-26,Clay,1st Round,3,Etcheverry T.,Bagnis F.,Bagnis F.,72,120,665,444,1.8,2.0,5-7 3-6
Croatia Open,2022-07-26,Clay,1st Round,3,Moutet C.,Altmaier D.,Moutet C.,116,65,487,729,1.66,2.2,6-4 6-2
Croatia Open,2022-07-26,Clay,1st Round,3,Djere L.,Agamenone F.,Agamenone F.,77,136,656,398,1.22,4.33,6-7 6-2 5-7
Croatia Open,2022-07-26,Clay,1st Round,3,Musetti L.,Bedene A.,Musetti L.,31,283,1280,170,1.33,3.4,6-2 3-6 6-1
Croatia Open,2022-07-27,Clay,2nd Round,3,Carballes Baena R.,Molcan A.,Carballes Baena R.,86,38,611,1121,2.62,1.5,3-6 6-2 6-3
Croatia Open,2022-07-27,Clay,2nd Round,3,Rune H.,Zapata Miralles B.,Zapata Miralles B.,27,82,1412,629,1.5,2.62,6-3 3-6 2-6
Croatia Open,2022-07-27,Clay,2nd Round,3,Sinner J.,Munar J.,Sinner J.,10,59,3185,809,1.4,3.0,6-4 6-4
Croatia Open,2022-07-28,Clay,2nd Round,3,Musetti L.,Cecchinato M.,Cecchinato M.,31,151,1280,362,1.28,3.75,4-6 3-6
Croatia Open,2022-07-28,Clay,2nd Round,3,Bagnis F.,Moutet C.,Bagnis F.,120,116,444,487,2.37,1.57,6-3 6-1
Croatia Open,2022-07-28,Clay,2nd Round,3,Baez S.,Agamenone F.,Agamenone F.,32,136,1263,398,1.16,5.0,6-3 1-6 5-7
Croatia Open,2022-07-28,Clay,2nd Round,3,Alcaraz C.,Gombos N.,Alcaraz C.,5,117,4895,484,1.05,11.0,6-2 6-3
Croatia Open,2022-07-29,Clay,Quarterfinals,3,Sinner J.,Carballes Baena R.,Sinner J.,10,86,3185,611,1.16,5.0,6-4 7-6
Croatia Open,2022-07-29,Clay,Quarterfinals,3,Alcaraz C.,Bagnis F.,Alcaraz C.,5,120,4895,444,1.07,9.0,6-0 6-4
Croatia Open,2022-07-30,Clay,Semifinals,3,Zeppieri G.,Alcaraz C.,Alcaraz C.,168,5,318,4895,9.0,1.07,5-7 6-4 3-6
Croatia Open,2022-07-30,Clay,Semifinals,3,Sinner J.,Agamenone F.,Sinner J.,10,136,3185,398,1.1,7.0,6-1 6-3
Croatia Open,2022-07-31,Clay,The Final,3,Alcaraz C.,Sinner J.,Sinner J.,5,10,4895,3185,1.61,2.3,7-6 1-6 1-6
Los Cabos Open,2022-08-02,Hard,1st Round,3,Berankis R.,Halys Q.,Berankis R.,98,73,532,659,2.3,1.61,7-6 7-5
Los Cabos Open,2022-08-03,Hard,1st Round,3,Etcheverry T.,Kubler J.,Kubler J.,88,122,597,456,3.5,1.3,7-6 3-6 1-6
Los Cabos Open,2022-08-03,Hard,1st Round,3,Nakashima B.,Uchida K.,Nakashima B.,61,175,719,304,1.08,8.0,7-6 6-2
Los Cabos Open,2022-08-03,Hard,1st Round,3,Hanfmann Y.,Thompson J.,Thompson J.,139,114,400,479,2.37,1.57,3-6 0-6
Los Cabos Open,2022-08-03,Hard,1st Round,3,Kokkinakis T.,Verdasco F.,Kokkinakis T.,75,125,654,435,1.4,3.0,6-3 6-7 6-2
Los Cabos Open,2022-08-04,Hard,2nd Round,3,Thompson J.,Kecmanovic M.,Kecmanovic M.,114,38,479,1130,2.75,1.44,4-6 2-6
Los Cabos Open,2022-08-04,Hard,2nd Round,3,Nakashima B.,Purcell M.,Nakashima B.,61,234,719,218,1.25,4.0,6-3 6-3
Los Cabos Open,2022-08-04,Hard,2nd Round,3,Hernandez A.,Auger-Aliassime F.,Auger-Aliassime F.,521,9,57,3445,19.0,1.02,3-6 5-7
Los Cabos Open,2022-08-04,Hard,2nd Round,3,Johnson S.,Kokkinakis T.,Johnson S.,92,75,568,654,2.37,1.57,6-7 6-4 6-4
Los Cabos Open,2022-08-04,Hard,2nd Round,3,Hijikata R.,Medvedev D.,Medvedev D.,224,1,229,7625,11.0,1.05,4-6 3-6
Los Cabos Open,2022-08-04,Hard,2nd Round,3,Norrie C.,Tseng C. H.,Norrie C.,12,84,2893,609,1.1,7.0,6-3 6-0
Los Cabos Open,2022-08-05,Hard,Quarterfinals,3,Nakashima B.,Kecmanovic M.,Kecmanovic M.,61,38,719,1130,1.8,2.0,2-6 4-6
Los Cabos Open,2022-08-05,Hard,Quarterfinals,3,Medvedev D.,Berankis R.,Medvedev D.,1,98,7625,532,1.08,8.0,6-2 6-2
Los Cabos Open,2022-08-05,Hard,Quarterfinals,3,Johnson S.,Auger-Aliassime F.,Auger-Aliassime F.,92,9,568,3445,4.0,1.25,4-6 6-7
Los Cabos Open,2022-08-05,Hard,Quarterfinals,3,Norrie C.,Albot R.,Norrie C.,12,118,2893,463,1.11,6.5,6-3 7-6
Los Cabos Open,2022-08-06,Hard,Semifinals,3,Kecmanovic M.,Medvedev D.,Medvedev D.,38,1,1130,7625,4.5,1.2,6-7 1-6
Los Cabos Open,2022-08-06,Hard,Semifinals,3,Norrie C.,Auger-Aliassime F.,Norrie C.,12,9,2893,3445,2.0,1.8,6-4 3-6 6-3
Los Cabos Open,2022-08-07,Hard,The Final,3,Norrie C.,Medvedev D.,Medvedev D.,12,1,2893,7625,3.4,1.33,5-7 0-6
Citi Open,2022-08-01,Hard,1st Round,3,Duckworth J.,Gojo B.,Gojo B.,59,198,761,265,1.57,2.37,6-4 6-7 2-6
Citi Open,2022-08-01,Hard,1st Round,3,Draper J.,Kozlov S.,Draper J.,81,111,629,493,1.2,4.5,7-5 6-2
Citi Open,2022-08-01,Hard,1st Round,3,Klahn B.,Mannarino A.,Mannarino A.,808,67,18,696,5.0,1.16,2-6 4-6
Citi Open,2022-08-02,Hard,1st Round,3,Bonzi B.,Eubanks C.,Eubanks C.,51,156,919,356,1.57,2.37,6-3 3-6 5-7
Citi Open,2022-08-02,Hard,1st Round,3,Brooksby J.,Nishioka Y.,Nishioka Y.,37,96,1162,552,1.33,3.4,4-6 3-6
Citi Open,2022-08-02,Hard,1st Round,3,Korda S.,Ivashka I.,Korda S.,54,49,815,955,1.9,1.9,6-4 7-6
Citi Open,2022-08-02,Hard,1st Round,3,Goffin D.,Sock J.,Sock J.,60,105,750,505,1.57,2.37,6-7 4-6
Citi Open,2022-08-03,Hard,1st Round,3,Kyrgios N.,Giron M.,Kyrgios N.,63,53,710,830,1.25,4.0,6-3 6-2
Citi Open,2022-08-02,Hard,2nd Round,3,Rublev A.,Draper J.,Rublev A.,8,81,3575,629,1.36,3.2,6-4 6-2
Citi Open,2022-08-03,Hard,2nd Round,3,Gojo B.,Van De Zandschulp B.,Van De Zandschulp B.,198,26,265,1446,3.5,1.3,6-7 7-6 4-6
Citi Open,2022-08-03,Hard,2nd Round,3,Khachanov K.,Koepfer D.,Khachanov K.,24,145,1485,392,1.36,3.2,6-7 7-5 6-4
Citi Open,2022-08-03,Hard,2nd Round,3,Paire B.,Rune H.,Rune H.,112,28,491,1388,3.4,1.33,3-6 2-6
Citi Open,2022-08-03,Hard,2nd Round,3,Ruusuvuori E.,Hurkacz H.,Ruusuvuori E.,46,11,970,3015,2.62,1.5,6-4 7-6
Citi Open,2022-08-03,Hard,2nd Round,3,Nishioka Y.,De Minaur A.,Nishioka Y.,96,21,552,1585,3.2,1.36,3-6 7-6 6-2
Citi Open,2022-08-03,Hard,2nd Round,3,Baez S.,Korda S.,Korda S.,4,54,4030,815,3.2,1.36,1-6 4-6
Citi Open,2022-08-03,Hard,2nd Round,3,Fritz T.,Popyrin A.,Fritz T.,13,83,2825,624,1.16,5.0,6-4 6-3
Citi Open,2022-08-03,Hard,2nd Round,3,Shapovalov D.,Wolf J.J.,Wolf J.J.,22,99,1573,531,1.5,2.62,2-6 7-6 3-6
Citi Open,2022-08-03,Hard,2nd Round,3,Dimitrov G.,Mannarino A.,Dimitrov G.,19,67,1730,696,1.57,2.37,6-1 3-6 7-5
Citi Open,2022-08-04,Hard,2nd Round,3,Tiafoe F.,Eubanks C.,Tiafoe F.,27,156,1416,356,1.4,3.0,6-3 7-6
Citi Open,2022-08-04,Hard,2nd Round,3,Kudla D.,Opelka R.,Opelka R.,82,17,625,2010,2.75,1.44,7-6 4-6 4-6
Citi Open,2022-08-04,Hard,2nd Round,3,Kyrgios N.,Paul T.,Kyrgios N.,63,34,710,1220,1.4,3.0,6-3 6-4
Citi Open,2022-08-04,Hard,3rd Round,3,Khachanov K.,Nishioka Y.,Nishioka Y.,24,96,1485,552,1.44,2.75,6-7 6-7
Citi Open,2022-08-05,Hard,3rd Round,3,Rune H.,Wolf J.J.,Wolf J.J.,28,99,1388,531,1.9,1.9,5-7 6-4 3-6
Citi Open,2022-08-05,Hard,3rd Round,3,Rublev A.,Cressy M.,Rublev A.,8,32,3575,1252,1.44,2.75,6-4 7-6
Citi Open,2022-08-05,Hard,3rd Round,3,Van De Zandschulp B.,Tiafoe F.,Tiafoe F.,26,27,1446,1416,2.2,1.66,6-4 2-6 3-6
Citi Open,2022-08-05,Hard,3rd Round,3,Korda S.,Dimitrov G.,Korda S.,54,19,815,1730,1.53,2.5,4-6 6-1 6-2
Citi Open,2022-08-05,Hard,3rd Round,3,Opelka R.,Kyrgios N.,Kyrgios N.,17,63,2010,710,3.4,1.33,6-7 2-6
Citi Open,2022-08-05,Hard,Quarterfinals,3,Nishioka Y.,Evans D.,Nishioka Y.,96,40,552,1115,2.0,1.8,7-6 4-6 7-5
Citi Open,2022-08-06,Hard,Quarterfinals,3,Wolf J.J.,Rublev A.,Rublev A.,99,8,531,3575,5.0,1.16,2-6 3-6
Citi Open,2022-08-06,Hard,Quarterfinals,3,Ymer M.,Korda S.,Ymer M.,115,54,475,815,3.2,1.36,6-2 5-7 6-3
Citi Open,2022-08-06,Hard,Quarterfinals,3,Tiafoe F.,Kyrgios N.,Kyrgios N.,27,63,1416,710,3.2,1.36,7-6 6-7 2-6
Citi Open,2022-08-07,Hard,Semifinals,3,Rublev A.,Nishioka Y.,Nishioka Y.,8,96,3575,552,1.2,4.5,3-6 4-6
Citi Open,2022-08-07,Hard,The Final,3,Kyrgios N.,Nishioka Y.,Kyrgios N.,63,96,710,552,1.16,5.0,6-4 6-3
Canadian Open,2022-08-08,Hard,1st Round,3,Cerundolo F.,Khachanov K.,Khachanov K.,27,28,1401,1395,2.75,1.44,6-7 7-5 3-6
Canadian Open,2022-08-08,Hard,1st Round,3,Brooksby J.,Bublik A.,Brooksby J.,46,41,972,1065,1.57,2.37,6-2 6-3
Canadian Open,2022-08-09,Hard,1st Round,3,Berrettini M.,Carreno Busta P.,Carreno Busta P.,14,23,2430,1555,1.36,3.2,3-6 2-6
Canadian Open,2022-08-09,Hard,1st Round,3,Paul T.,Pospisil V.,Paul T.,34,147,1220,378,1.25,4.0,6-4 6-4
Canadian Open,2022-08-09,Hard,1st Round,3,Cilic M.,Coric B.,Cilic M.,16,157,2085,350,1.5,2.62,6-3 6-2
Canadian Open,2022-08-09,Hard,1st Round,3,Martinez P.,Monfils G.,Monfils G.,53,20,860,1615,2.37,1.57,6-7 6-3 2-6
Canadian Open,2022-08-09,Hard,1st Round,3,Dimitrov G.,Galarneau A.,Dimitrov G.,19,237,1775,215,1.14,5.5,6-4 7-5
Canadian Open,2022-08-09,Hard,1st Round,3,Rinderknech A.,Mannarino A.,Mannarino A.,67,70,695,671,2.2,1.66,3-6 3-6
Canadian Open,2022-08-09,Hard,1st Round,3,Gaston H.,Draper J.,Draper J.,76,82,657,639,3.4,1.33,2-6 3-6
Canadian Open,2022-08-09,Hard,1st Round,3,De Minaur A.,Shapovalov D.,De Minaur A.,21,22,1585,1560,1.66,2.2,7-5 7-6
Canadian Open,2022-08-09,Hard,1st Round,3,Baez S.,Kyrgios N.,Kyrgios N.,32,37,1263,1205,5.0,1.16,4-6 4-6
Canadian Open,2022-08-09,Hard,1st Round,3,Rune H.,Fognini F.,Rune H.,26,60,1425,766,1.72,2.1,6-3 7-5
Canadian Open,2022-08-09,Hard,1st Round,3,Bonzi B.,Tiafoe F.,Tiafoe F.,49,24,919,1506,2.75,1.44,7-6 5-7 3-6
Canadian Open,2022-08-09,Hard,1st Round,3,Bautista Agut R.,Giron M.,Bautista Agut R.,18,57,1850,801,1.3,3.5,7-6 6-3
Canadian Open,2022-08-09,Hard,1st Round,3,Nakashima B.,Norrie C.,Norrie C.,63,11,719,2985,2.62,1.5,4-6 4-6
Canadian Open,2022-08-09,Hard,1st Round,3,Nishioka Y.,Paire B.,Nishioka Y.,54,104,852,511,1.57,2.37,6-2 6-3
Canadian Open,2022-08-10,Hard,1st Round,3,Murray A.,Fritz T.,Fritz T.,48,13,950,2860,3.0,1.4,1-6 3-6
Canadian Open,2022-08-10,Hard,1st Round,3,Van De Zandschulp B.,Kecmanovic M.,Van De Zandschulp B.,25,35,1462,1210,2.2,1.66,6-1 7-5
Canadian Open,2022-08-10,Hard,1st Round,3,Davidovich Fokina A.,Schwartzman D.,Schwartzman D.,36,15,1210,2245,2.0,1.8,6-1 3-6 4-6
Canadian Open,2022-08-10,Hard,1st Round,3,Ramos-Vinolas A.,Goffin D.,Ramos-Vinolas A.,43,61,1005,745,3.0,1.4,7-6 6-2
Canadian Open,2022-08-10,Hard,2nd Round,3,Ruusuvuori E.,Hurkacz H.,Hurkacz H.,44,10,991,3015,2.5,1.53,3-6 7-6 2-6
Canadian Open,2022-08-10,Hard,2nd Round,3,Paul T.,Alcaraz C.,Paul T.,34,4,1220,5035,4.5,1.2,6-7 7-6 6-3
Canadian Open,2022-08-10,Hard,2nd Round,3,Molcan A.,Ruud C.,Ruud C.,42,7,1061,4685,3.4,1.33,6-7 3-6
Canadian Open,2022-08-10,Hard,2nd Round,3,Bautista Agut R.,Brooksby J.,Bautista Agut R.,18,46,1850,972,1.72,2.1,7-5 6-1
Canadian Open,2022-08-10,Hard,2nd Round,3,Rune H.,Carreno Busta P.,Carreno Busta P.,26,23,1425,1555,2.75,1.44,0-6 3-6
Canadian Open,2022-08-10,Hard,2nd Round,3,Sinner J.,Mannarino A.,Sinner J.,12,70,2895,671,1.12,6.0,2-6 6-4 6-2
Canadian Open,2022-08-10,Hard,2nd Round,3,Medvedev D.,Kyrgios N.,Kyrgios N.,1,37,7875,1205,1.5,2.62,7-6 4-6 2-6
Canadian Open,2022-08-10,Hard,2nd Round,3,Cilic M.,Khachanov K.,Cilic M.,16,28,2085,1395,2.0,1.8,6-3 6-2
Canadian Open,2022-08-10,Hard,2nd Round,3,Dimitrov G.,De Minaur A.,De Minaur A.,19,21,1775,1585,2.62,1.5,6-7 5-7
Canadian Open,2022-08-10,Hard,2nd Round,3,Monfils G.,Cressy M.,Monfils G.,20,31,1615,1279,2.1,1.72,7-6 7-6
Canadian Open,2022-08-10,Hard,2nd Round,3,Tiafoe F.,Fritz T.,Fritz T.,24,13,1506,2860,2.75,1.44,7-5 1-6 4-6
Canadian Open,2022-08-10,Hard,2nd Round,3,Van De Zandschulp B.,Norrie C.,Norrie C.,25,11,1462,2985,3.0,1.4,1-6 2-6
Canadian Open,2022-08-11,Hard,2nd Round,3,Evans D.,Rublev A.,Evans D.,39,8,1170,3710,3.4,1.33,6-4 6-4
Canadian Open,2022-08-11,Hard,2nd Round,3,Nishioka Y.,Auger-Aliassime F.,Auger-Aliassime F.,54,9,852,3490,3.4,1.33,6-7 4-6
Canadian Open,2022-08-11,Hard,2nd Round,3,Draper J.,Tsitsipas S.,Draper J.,82,5,639,5000,3.75,1.28,7-5 7-6
Canadian Open,2022-08-11,Hard,3rd Round,3,Bautista Agut R.,Ruud C.,Ruud C.,18,7,1850,4685,2.1,1.72,7-6 6-7 4-6
Canadian Open,2022-08-11,Hard,3rd Round,3,Hurkacz H.,Ramos-Vinolas A.,Hurkacz H.,10,43,3015,1005,1.16,5.0,6-7 6-2 7-6
Canadian Open,2022-08-11,Hard,3rd Round,3,Norrie C.,Auger-Aliassime F.,Auger-Aliassime F.,11,9,2985,3490,2.1,1.72,3-6 4-6
Canadian Open,2022-08-11,Hard,3rd Round,3,Evans D.,Fritz T.,Evans D.,39,13,1170,2860,2.75,1.44,7-6 1-6 7-5
Canadian Open,2022-08-11,Hard,3rd Round,3,De Minaur A.,Kyrgios N.,Kyrgios N.,21,37,1585,1205,3.0,1.4,2-6 3-6
Canadian Open,2022-08-12,Hard,3rd Round,3,Paul T.,Cilic M.,Paul T.,34,16,1220,2085,2.2,1.66,6-4 6-2
Canadian Open,2022-08-12,Hard,3rd Round,3,Sinner J.,Carreno Busta P.,Carreno Busta P.,12,23,2895,1555,1.5,2.62,2-6 4-6
Canadian Open,2022-08-12,Hard,Quarterfinals,3,Hurkacz H.,Kyrgios N.,Hurkacz H.,10,37,3015,1205,3.5,1.3,7-6 6-7 6-1
Canadian Open,2022-08-12,Hard,Quarterfinals,3,Auger-Aliassime F.,Ruud C.,Ruud C.,9,7,3490,4685,1.53,2.5,1-6 2-6
Canadian Open,2022-08-12,Hard,Quarterfinals,3,Evans D.,Paul T.,Evans D.,39,34,1170,1220,2.37,1.57,1-6 6-3 6-4
Canadian Open,2022-08-13,Hard,Quarterfinals,3,Draper J.,Carreno Busta P.,Carreno Busta P.,82,23,639,1555,3.0,1.4,6-7 1-6
Canadian Open,2022-08-13,Hard,Semifinals,3,Hurkacz H.,Ruud C.,Hurkacz H.,10,7,3015,4685,1.9,1.9,5-7 6-3 6-2
Canadian Open,2022-08-14,Hard,Semifinals,3,Evans D.,Carreno Busta P.,Carreno Busta P.,39,23,1170,1555,2.75,1.44,5-7 7-6 2-6
Canadian Open,2022-08-14,Hard,The Final,3,Carreno Busta P.,Hurkacz H.,Carreno Busta P.,23,10,1555,3015,2.37,1.57,3-6 6-3 6-3
Western & Southern Financial Group Masters,2022-08-14,Hard,1st Round,3,Cressy M.,Van De Zandschulp B.,Van De Zandschulp B.,32,24,1304,1478,2.1,1.72,2-6 6-4 4-6
Western & Southern Financial Group Masters,2022-08-15,Hard,1st Round,3,Karatsev A.,Nakashima B.,Karatsev A.,38,66,1175,709,2.75,1.44,7-5 7-5
Western & Southern Financial Group Masters,2022-08-15,Hard,1st Round,3,Cerundolo F.,Bautista Agut R.,Bautista Agut R.,27,19,1402,1760,3.2,1.36,7-6 4-6 2-6
Western & Southern Financial Group Masters,2022-08-15,Hard,1st Round,3,Bonzi B.,Isner J.,Isner J.,48,50,921,880,2.3,1.61,6-7 6-3 6-7
Western & Southern Financial Group Masters,2022-08-15,Hard,1st Round,3,Norrie C.,Rune H.,Norrie C.,11,29,3065,1380,1.25,4.0,7-6 4-6 6-4
Western & Southern Financial Group Masters,2022-08-15,Hard,1st Round,3,Cilic M.,Munar J.,Cilic M.,17,57,2130,809,1.4,3.0,6-3 6-3
Western & Southern Financial Group Masters,2022-08-15,Hard,1st Round,3,Goffin D.,Giron M.,Giron M.,62,54,745,836,1.66,2.2,3-6 4-6
Western & Southern Financial Group Masters,2022-08-16,Hard,1st Round,3,Korda S.,Khachanov K.,Korda S.,52,30,860,1350,1.72,2.1,6-3 6-4
Western & Southern Financial Group Masters,2022-08-16,Hard,1st Round,3,Berrettini M.,Tiafoe F.,Tiafoe F.,15,25,2440,1445,1.57,2.37,6-7 6-4 6-7
Western & Southern Financial Group Masters,2022-08-16,Hard,1st Round,3,Shapovalov D.,Dimitrov G.,Shapovalov D.,21,18,1560,1810,2.1,1.72,7-6 6-3
Western & Southern Financial Group Masters,2022-08-16,Hard,1st Round,3,Musetti L.,Coric B.,Coric B.,33,152,1297,360,1.57,2.37,6-7 3-6
Western & Southern Financial Group Masters,2022-08-16,Hard,1st Round,3,Sinner J.,Kokkinakis T.,Sinner J.,12,75,2975,662,1.2,4.5,6-7 6-4 7-6
Western & Southern Financial Group Masters,2022-08-16,Hard,1st Round,3,Brooksby J.,Paul T.,Paul T.,43,31,1017,1330,2.1,1.72,3-6 2-6
Western & Southern Financial Group Masters,2022-08-16,Hard,1st Round,3,De Minaur A.,Laaksonen H.,De Minaur A.,20,102,1665,514,1.07,9.0,6-2 6-2
Western & Southern Financial Group Masters,2022-08-16,Hard,1st Round,3,Ramos-Vinolas A.,Fognini F.,Fognini F.,40,61,1085,756,1.72,2.1,2-6 3-6
Western & Southern Financial Group Masters,2022-08-16,Hard,1st Round,3,Kecmanovic M.,Carreno Busta P.,Kecmanovic M.,36,14,1210,2545,2.1,1.72,1-6 7-5 7-6
Western & Southern Financial Group Masters,2022-08-16,Hard,1st Round,3,Davidovich Fokina A.,Kyrgios N.,Kyrgios N.,37,28,1210,1385,4.5,1.2,5-7 4-6
Western & Southern Financial Group Masters,2022-08-16,Hard,1st Round,3,Fritz T.,Baez S.,Fritz T.,13,35,2930,1253,1.16,5.0,6-1 6-1
Western & Southern Financial Group Masters,2022-08-16,Hard,1st Round,3,Sonego L.,Shelton B.,Shelton B.,56,229,810,221,1.57,2.37,6-7 6-3 5-7
Western & Southern Financial Group Masters,2022-08-17,Hard,2nd Round,3,Mcdonald M.,Alcaraz C.,Alcaraz C.,72,4,666,5045,6.0,1.12,3-6 2-6
Western & Southern Financial Group Masters,2022-08-17,Hard,2nd Round,3,Van De Zandschulp B.,Medvedev D.,Medvedev D.,24,1,1478,6885,5.5,1.14,4-6 5-7
Western & Southern Financial Group Masters,2022-08-17,Hard,2nd Round,3,De Minaur A.,Auger-Aliassime F.,Auger-Aliassime F.,20,9,1665,3625,2.1,1.72,3-6 2-6
Western & Southern Financial Group Masters,2022-08-17,Hard,2nd Round,3,Norrie C.,Murray A.,Norrie C.,11,47,3065,930,1.36,3.2,3-6 6-3 6-4
Western & Southern Financial Group Masters,2022-08-17,Hard,2nd Round,3,Fognini F.,Rublev A.,Rublev A.,61,8,756,3630,4.5,1.2,7-6 6-7 2-6
Western & Southern Financial Group Masters,2022-08-17,Hard,2nd Round,3,Isner J.,Hurkacz H.,Isner J.,50,10,880,3435,2.62,1.5,7-6 6-7 6-2
Western & Southern Financial Group Masters,2022-08-17,Hard,2nd Round,3,Paul T.,Shapovalov D.,Shapovalov D.,31,21,1330,1560,1.53,2.5,6-3 4-6 3-6
Western & Southern Financial Group Masters,2022-08-17,Hard,2nd Round,3,Shelton B.,Ruud C.,Shelton B.,229,5,221,4865,4.5,1.2,6-3 6-3
Western & Southern Financial Group Masters,2022-08-17,Hard,2nd Round,3,Kyrgios N.,Fritz T.,Fritz T.,28,13,1385,2930,1.72,2.1,3-6 2-6
Western & Southern Financial Group Masters,2022-08-17,Hard,2nd Round,3,Tsitsipas S.,Krajinovic F.,Tsitsipas S.,7,46,4650,975,1.25,4.0,6-3 6-4
Western & Southern Financial Group Masters,2022-08-17,Hard,2nd Round,3,Giron M.,Bautista Agut R.,Bautista Agut R.,54,19,836,1760,3.0,1.4,3-6 3-6
Western & Southern Financial Group Masters,2022-08-18,Hard,2nd Round,3,Coric B.,Nadal R.,Coric B.,152,3,360,5620,5.5,1.14,7-6 4-6 6-3
Western & Southern Financial Group Masters,2022-08-18,Hard,2nd Round,3,Tiafoe F.,Korda S.,Korda S.,25,52,1445,860,1.72,2.1,6-4 1-6 4-6
Western & Southern Financial Group Masters,2022-08-18,Hard,3rd Round,3,Fritz T.,Rublev A.,Fritz T.,13,8,2930,3630,1.44,2.75,6-7 6-2 7-5
Western & Southern Financial Group Masters,2022-08-18,Hard,3rd Round,3,Shapovalov D.,Medvedev D.,Medvedev D.,21,1,1560,6885,4.33,1.22,5-7 5-7
Western & Southern Financial Group Masters,2022-08-18,Hard,3rd Round,3,Tsitsipas S.,Schwartzman D.,Tsitsipas S.,7,16,4650,2200,1.28,3.75,6-3 6-3
Western & Southern Financial Group Masters,2022-08-18,Hard,3rd Round,3,Bautista Agut R.,Coric B.,Coric B.,19,152,1760,360,1.44,2.75,2-6 3-6
Western & Southern Financial Group Masters,2022-08-18,Hard,3rd Round,3,Isner J.,Korda S.,Isner J.,50,52,880,860,2.37,1.57,7-6 1-6 7-6
Western & Southern Financial Group Masters,2022-08-19,Hard,3rd Round,3,Sinner J.,Auger-Aliassime F.,Auger-Aliassime F.,12,9,2975,3625,1.8,2.0,6-2 6-7 1-6
Western & Southern Financial Group Masters,2022-08-19,Hard,3rd Round,3,Alcaraz C.,Cilic M.,Alcaraz C.,4,17,5045,2130,1.25,4.0,7-6 6-1
Western & Southern Financial Group Masters,2022-08-19,Hard,3rd Round,3,Shelton B.,Norrie C.,Norrie C.,229,11,221,3065,3.0,1.4,0-6 2-6
Western & Southern Financial Group Masters,2022-08-19,Hard,Quarterfinals,3,Medvedev D.,Fritz T.,Medvedev D.,1,13,6885,2930,1.44,2.75,7-6 6-3
Western & Southern Financial Group Masters,2022-08-19,Hard,Quarterfinals,3,Isner J.,Tsitsipas S.,Tsitsipas S.,50,7,880,4650,3.2,1.36,6-7 7-5 3-6
Western & Southern Financial Group Masters,2022-08-20,Hard,Quarterfinals,3,Coric B.,Auger-Aliassime F.,Coric B.,152,9,360,3625,2.62,1.5,6-4 6-4
Western & Southern Financial Group Masters,2022-08-20,Hard,Quarterfinals,3,Alcaraz C.,Norrie C.,Norrie C.,4,11,5045,3065,1.3,3.5,6-7 7-6 4-6
Western & Southern Financial Group Masters,2022-08-21,Hard,Semifinals,3,Coric B.,Norrie C.,Coric B.,152,11,360,3065,2.2,1.66,6-3 6-4
Western & Southern Financial Group Masters,2022-08-21,Hard,Semifinals,3,Medvedev D.,Tsitsipas S.,Tsitsipas S.,1,7,6885,4650,1.33,3.4,6-7 6-3 3-6
Western & Southern Financial Group Masters,2022-08-21,Hard,The Final,3,Coric B.,Tsitsipas S.,Coric B.,152,7,360,4650,2.37,1.57,7-6 6-2
Winston-Salem Open at Wake Forest University,2022-08-21,Hard,1st Round,3,Altmaier D.,Kwon S.W.,Kwon S.W.,93,81,573,646,2.37,1.57,1-6 4-6
Winston-Salem Open at Wake Forest University,2022-08-21,Hard,1st Round,3,Monteiro T.,Kudla D.,Monteiro T.,67,97,721,555,2.1,1.72,7-6 7-5
Winston-Salem Open at Wake Forest University,2022-08-22,Hard,1st Round,3,Goffin D.,Djere L.,Djere L.,62,89,770,597,1.33,3.4,3-6 6-3 3-6
Winston-Salem Open at Wake Forest University,2022-08-22,Hard,1st Round,3,Millman J.,Gaston H.,Millman J.,104,71,516,692,1.53,2.5,6-2 6-3
Winston-Salem Open at Wake Forest University,2022-08-22,Hard,1st Round,3,Daniel T.,Griekspoor T.,Griekspoor T.,95,46,564,990,1.53,2.45,6-7 3-6
Winston-Salem Open at Wake Forest University,2022-08-22,Hard,1st Round,3,Gojowczyk P.,Lehecka J.,Gojowczyk P.,111,60,490,773,3.0,1.4,6-4 6-3
Winston-Salem Open at Wake Forest University,2022-08-22,Hard,1st Round,3,Kokkinakis T.,Duckworth J.,Duckworth J.,70,84,697,622,1.36,3.2,6-4 3-6 6-7
Winston-Salem Open at Wake Forest University,2022-08-22,Hard,1st Round,3,Tabilo A.,Mochizuki S.,Tabilo A.,72,368,686,114,1.4,3.0,4-6 6-2 6-4
Winston-Salem Open at Wake Forest University,2022-08-22,Hard,1st Round,3,O Connell C.,Mannarino A.,Mannarino A.,121,65,460,741,1.9,1.9,6-7 7-6 6-7
Winston-Salem Open at Wake Forest University,2022-08-22,Hard,1st Round,3,Tseng C.H.,Fucsovics M.,Tseng C.H.,85,96,618,562,2.0,1.8,6-1 1-6 6-3
